,0,1
0,1.0,1.0
1,0.0,0.0
2,0.0,0.0
3,1.0,1.0
4,0.0,0.0
5,0.0,0.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,0.0,0.03
10,0.0,0.02
11,1.0,1.0
12,0.0,0.02
13,1.0,0.9
14,0.0,0.17
15,0.0,0.01
16,1.0,1.0
17,1.0,0.89
18,0.0,0.01
19,1.0,0.93
20,0.0,0.0
21,0.0,0.03
22,1.0,1.0
23,0.0,0.02
24,1.0,0.1
25,0.0,0.0
26,0.0,0.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,0.0,0.0
31,1.0,0.89
32,0.0,0.0
33,1.0,0.84
34,0.0,0.0
35,0.0,0.02
36,1.0,1.0
37,0.0,0.0
38,1.0,1.0
39,1.0,0.97
40,1.0,1.0
41,0.0,0.98
42,1.0,0.69
43,0.0,0.12
44,1.0,0.75
45,0.0,0.0
46,1.0,1.0
47,1.0,1.0
48,0.0,0.0
49,1.0,1.0
50,0.0,0.03
51,1.0,1.0
52,1.0,1.0
53,0.0,0.0
54,1.0,1.0
55,1.0,0.99
56,1.0,1.0
57,1.0,1.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.01
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,0.0,0.0
67,1.0,1.0
68,0.0,0.02
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,0.52
74,0.0,0.0
75,1.0,0.89
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,0.0,0.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,0.98
84,1.0,1.0
85,0.0,0.01
86,0.0,0.04
87,0.0,0.01
88,0.0,0.0
89,1.0,0.8
90,1.0,1.0
91,1.0,1.0
92,0.0,0.01
93,0.0,0.0
94,0.0,0.0
95,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,0.0,0.0
99,0.0,0.19
100,1.0,1.0
101,0.0,0.0
102,1.0,1.0
103,0.0,0.0
104,1.0,1.0
105,1.0,1.0
106,1.0,0.8
107,1.0,0.93
108,1.0,1.0
109,0.0,0.0
110,1.0,0.99
111,1.0,1.0
112,0.0,0.03
113,0.0,0.02
114,0.0,0.45
115,0.0,0.0
116,1.0,1.0
117,1.0,1.0
118,0.0,0.01
119,0.0,0.0
120,1.0,0.99
121,1.0,0.98
122,0.0,0.02
123,1.0,1.0
124,0.0,0.06
125,0.0,0.0
126,1.0,0.99
127,1.0,1.0
128,1.0,0.97
129,0.0,0.0
130,1.0,0.31
131,0.0,0.06
132,0.0,0.01
133,1.0,1.0
134,1.0,0.89
135,1.0,1.0
136,0.0,0.0
137,0.0,0.0
138,1.0,1.0
139,1.0,1.0
140,1.0,0.96
141,0.0,0.16
142,0.0,0.01
143,1.0,1.0
144,0.0,0.0
145,1.0,1.0
146,0.0,0.01
147,0.0,0.0
148,0.0,0.03
149,1.0,1.0
150,0.0,0.02
151,0.0,0.01
152,0.0,0.01
153,0.0,0.0
154,0.0,0.0
155,1.0,1.0
156,0.0,0.0
157,1.0,1.0
158,1.0,0.89
159,1.0,1.0
160,1.0,1.0
161,0.0,0.0
162,0.0,0.34
163,1.0,1.0
164,0.0,0.0
165,1.0,1.0
166,0.0,0.0
167,0.0,0.0
168,1.0,0.99
169,0.0,0.0
170,0.0,0.0
171,0.0,0.03
172,0.0,0.89
173,0.0,0.0
174,1.0,1.0
175,1.0,1.0
176,1.0,1.0
177,1.0,1.0
178,1.0,0.78
179,1.0,1.0
180,0.0,0.08
181,0.0,0.02
182,0.0,0.0
183,0.0,0.18
184,1.0,1.0
185,0.0,0.03
186,1.0,1.0
187,0.0,0.11
188,1.0,1.0
189,1.0,0.97
190,0.0,0.0
191,1.0,1.0
192,0.0,0.1
193,0.0,0.0
194,0.0,0.01
195,1.0,1.0
196,1.0,1.0
197,0.0,0.0
198,0.0,0.0
199,1.0,1.0
200,1.0,1.0
201,1.0,0.59
202,1.0,1.0
203,0.0,0.02
204,0.0,0.01
205,1.0,1.0
206,0.0,0.0
207,1.0,1.0
208,1.0,0.95
209,0.0,0.0
210,0.0,0.01
211,0.0,0.0
212,1.0,1.0
213,0.0,0.08
214,0.0,0.36
215,0.0,0.0
216,0.0,0.02
217,1.0,1.0
218,0.0,0.01
219,0.0,0.0
220,0.0,0.12
221,0.0,0.27
222,1.0,0.69
223,1.0,1.0
224,0.0,0.0
225,0.0,0.33
226,1.0,1.0
227,0.0,0.0
228,1.0,1.0
229,0.0,0.02
230,1.0,1.0
231,1.0,1.0
232,0.0,0.0
233,0.0,0.01
234,1.0,0.99
235,1.0,1.0
236,0.0,0.62
237,1.0,1.0
238,1.0,1.0
239,0.0,0.28
240,0.0,0.02
241,1.0,1.0
242,1.0,1.0
243,1.0,0.87
244,1.0,0.31
245,0.0,0.0
246,1.0,1.0
247,0.0,0.0
248,0.0,0.01
249,1.0,1.0
250,0.0,0.0
251,0.0,0.0
252,1.0,0.84
253,1.0,1.0
254,0.0,0.0
255,1.0,1.0
256,0.0,0.81
257,1.0,0.89
258,1.0,1.0
259,0.0,0.0
260,1.0,1.0
261,1.0,0.86
262,0.0,0.0
263,1.0,0.74
264,0.0,0.01
265,1.0,1.0
266,1.0,0.76
267,0.0,0.22
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.05
272,0.0,0.0
273,0.0,0.18
274,1.0,1.0
275,0.0,0.25
276,1.0,1.0
277,1.0,1.0
278,0.0,0.06
279,0.0,0.11
280,1.0,1.0
281,1.0,0.99
282,0.0,0.03
283,1.0,1.0
284,0.0,0.03
285,0.0,0.0
286,1.0,1.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,1.0,1.0
291,0.0,0.03
292,1.0,0.99
293,1.0,0.12
294,1.0,0.52
295,0.0,0.01
296,1.0,1.0
297,1.0,1.0
